;ENSBTAT00000001063_98;ENSBTAT00000075784_98;ENSBTAT00000047356_98;ENSBTAT00000081411_98;ENSBTAT00000014936_98;ENSBTAT00000067399_98;ENSBTAT00000067879_98;ENSBTAT00000080112_98;ENSBTAT00000082719_98;ENSBTAT00000019309_98;ENSBTAT00000080865_98;ENSBTAT00000084315_98;ENSBTAT00000021671_98;ENSBTAT00000081480_98;ENSBTAT00000025447_98;ENSBTAT00000032168_98;ENSCAFT00000002680_98;ENSCAFT00000004679_98;ENSCAFT00000006771_98;ENSCAFT00000038895_98;ENSCAFT00000063489_98;ENSCAFT00000013895_98;ENSCAFT00000015908_98;ENSCAFT00000048936_98;ENSCAFT00000063917_98;ENSCAFT00000067748_98;ENSCAFT00000069799_98;ENSCAFT00000074238_98;ENSCAFT00000077614_98;ENSCAFT00000081924_98;ENSCAFT00000017386_98;ENSCAFT00000077728_98;ENSCAFT00000082195_98;ENSCAFT00000030888_98;ENSCAFT00000092108_98;ENSCAFT00020006658_98;ENSCAFT00020020044_98;ENSCAFT00020021017_98;ENSCAFT00020021478_98;ENSCAFT00020025374_98;ENSCAFT00020025671_98;ENSCAFT00020025673_98;ENSCAFT00020040315_98;ENST00000396049_98;ENST00000233892_98;ENST00000323303_98;ENST00000409355_98;ENST00000409360_98;ENST00000409916_98;ENST00000417097_98;ENST00000448447_98;ENST00000262244_98;ENST00000271139_98;ENST00000319928_98;ENST00000371940_98;ENST00000357066_98;ENST00000586676_98;ENST00000588048_98;ENST00000589902_98;ENST00000591236_98;ENST00000591326_98;ENST00000591638_98;ENST00000592280_98;ENST00000309395_98;ENST00000396051_98;ENST00000502869_98;ENST00000329957_98;ENST00000614710_98;ENST00000604458_98;ENSGALT00000086679_98;ENSGALT00000013192_98;ENSGALT00000018879_98;ENSGALT00000045632_98;ENSGALT00000055274_98;ENSGALT00000084848_98;ENSGALT00000073440_98;ENSGALT00000102171_98;ENSGALT00000103370_98;ENSGALT00000072963_98;ENSGALT00000049628_98;ENSMUST00000003438_98;ENSMUST00000218090_98;ENSMUST00000220138_98;ENSMUST00000006424_98;ENSMUST00000113229_98;ENSMUST00000084418_98;ENSMUST00000209725_98;ENSMUST00000209732_98;ENSMUST00000210684_98;ENSMUST00000211000_98;ENSMUST00000211206_98;ENSMUST00000027122_98;ENSMUST00000159311_98;ENSMUST00000161122_98;ENSMUST00000162364_98;ENSMUST00000162553_98;ENSMUST00000030477_98;ENSMUST00000148409_98;ENSMUST00000038658_98;ENSMUST00000055261_98;ENSMUST00000101245_98;ENSMUST00000133045_98;ENSMUST00000155580_98;ENSMUST00000102975_98
ENST00000357066_98;0.637;0.637;0.641;0.639;0.0;0.577;0.0;0.579;0.575;0.373;0.647;0.647;0.0;0.0;0.0;0.621;0.646;0.646;0.607;0.602;0.595;0.646;0.128;0.127;0.717;0.7;0.725;0.124;0.127;0.126;0.633;0.646;0.655;0.576;0.586;0.633;0.646;0.646;0.621;0.647;0.635;0.619;0.646;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.535;0.0;0.0;1.0;0.184;0.07;0.256;0.297;0.306;0.382;1.0;0.0;0.0;0.0;0.672;0.699;0.614;0.623;0.0;0.605;0.811;0.811;0.811;0.659;0.675;0.672;0.646;0.65;0.621;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.623;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000586676_98;0.361;0.361;0.351;0.35;0.0;0.239;0.0;0.24;0.238;0.412;0.265;0.265;0.0;0.0;0.0;0.361;0.451;0.451;0.446;0.422;0.438;0.451;0.0;0.0;0.019;0.019;0.019;0.0;0.0;0.0;0.441;0.45;0.455;0.425;0.413;0.441;0.451;0.451;0.361;0.361;0.434;0.424;0.451;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.564;0.0;0.0;0.184;1.0;0.378;0.719;0.619;0.602;0.484;0.184;0.0;0.0;0.0;0.274;0.285;0.428;0.436;0.0;0.344;0.192;0.192;0.192;0.272;0.28;0.278;0.451;0.373;0.361;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.361;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000588048_98;0.127;0.127;0.127;0.126;0.0;0.077;0.0;0.078;0.077;0.143;0.094;0.094;0.0;0.0;0.0;0.127;0.155;0.155;0.152;0.143;0.148;0.155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.136;0.14;0.142;0.143;0.139;0.136;0.155;0.155;0.127;0.127;0.149;0.145;0.155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.085;0.0;0.0;0.07;0.378;1.0;0.271;0.234;0.228;0.183;0.07;0.0;0.0;0.0;0.097;0.102;0.131;0.149;0.0;0.117;0.089;0.089;0.089;0.102;0.105;0.105;0.155;0.13;0.127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.127;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000589902_98;0.497;0.497;0.437;0.435;0.0;0.325;0.0;0.326;0.324;0.567;0.365;0.365;0.0;0.0;0.0;0.497;0.556;0.556;0.548;0.519;0.538;0.556;0.0;0.0;0.095;0.092;0.096;0.0;0.0;0.0;0.519;0.53;0.537;0.522;0.506;0.519;0.556;0.556;0.497;0.496;0.535;0.522;0.556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.559;0.0;0.0;0.256;0.719;0.271;1.0;0.861;0.839;0.673;0.256;0.0;0.0;0.0;0.377;0.393;0.504;0.536;0.0;0.423;0.267;0.267;0.267;0.332;0.342;0.34;0.556;0.512;0.496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.497;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000591236_98;0.567;0.567;0.506;0.504;0.0;0.359;0.0;0.361;0.358;0.634;0.427;0.427;0.0;0.0;0.0;0.567;0.556;0.556;0.548;0.519;0.538;0.556;0.0;0.0;0.141;0.138;0.143;0.0;0.0;0.0;0.519;0.53;0.537;0.522;0.506;0.519;0.556;0.556;0.567;0.566;0.535;0.522;0.556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.557;0.0;0.0;0.297;0.619;0.234;0.861;1.0;0.973;0.781;0.297;0.0;0.0;0.0;0.411;0.428;0.504;0.536;0.0;0.491;0.317;0.317;0.317;0.387;0.399;0.397;0.556;0.572;0.566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.567;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000591326_98;0.567;0.567;0.506;0.504;0.0;0.359;0.0;0.361;0.358;0.613;0.442;0.442;0.0;0.0;0.0;0.567;0.556;0.556;0.548;0.519;0.538;0.556;0.0;0.0;0.152;0.149;0.154;0.0;0.0;0.0;0.519;0.53;0.537;0.522;0.506;0.519;0.556;0.556;0.567;0.566;0.535;0.522;0.556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.557;0.0;0.0;0.306;0.602;0.228;0.839;0.973;1.0;0.802;0.306;0.0;0.0;0.0;0.411;0.428;0.504;0.536;0.0;0.491;0.317;0.317;0.317;0.387;0.399;0.397;0.556;0.572;0.566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.567;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000591638_98;0.653;0.653;0.582;0.58;0.0;0.389;0.0;0.39;0.387;0.502;0.556;0.556;0.0;0.0;0.0;0.653;0.595;0.595;0.585;0.553;0.574;0.595;0.0;0.0;0.233;0.229;0.236;0.0;0.0;0.0;0.56;0.573;0.581;0.556;0.539;0.56;0.595;0.595;0.653;0.652;0.572;0.557;0.595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.554;0.0;0.0;0.382;0.484;0.183;0.673;0.781;0.802;1.0;0.382;0.0;0.0;0.0;0.477;0.496;0.543;0.573;0.0;0.577;0.376;0.376;0.376;0.431;0.445;0.442;0.595;0.616;0.652;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.653;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000592280_98;0.637;0.637;0.641;0.639;0.0;0.577;0.0;0.579;0.575;0.373;0.647;0.647;0.0;0.0;0.0;0.621;0.646;0.646;0.607;0.602;0.595;0.646;0.128;0.127;0.717;0.7;0.725;0.124;0.127;0.126;0.633;0.646;0.655;0.576;0.586;0.633;0.646;0.646;0.621;0.647;0.635;0.619;0.646;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.535;0.0;0.0;1.0;0.184;0.07;0.256;0.297;0.306;0.382;1.0;0.0;0.0;0.0;0.672;0.699;0.614;0.623;0.0;0.605;0.811;0.811;0.811;0.659;0.675;0.672;0.646;0.65;0.621;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.623;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000309395_98;0.0;0.0;0.405;0.41;0.0;0.192;0.311;0.059;0.29;0.0;0.0;0.0;0.971;0.998;0.727;0.0;0.0;0.508;0.102;0.587;0.593;0.507;0.0;0.16;0.0;0.0;0.0;0.381;0.0;0.136;0.541;0.514;0.0;0.65;0.643;0.539;0.508;0.0;0.508;0.0;0.0;0.56;0.507;0.978;0.523;0.678;0.358;0.523;0.071;0.295;0.557;0.758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.945;0.475;0.544;0.0;0.606;0.573;0.738;0.661;0.0;0.0;0.0;0.237;0.177;0.149;0.0;0.521;0.0;0.0;0.0;0.978;0.978;0.508;0.0;0.0;0.516;0.0;0.0;0.278;0.52;0.223;0.648;0.561;0.501;0.502;0.313;0.742;0.742;0.169;0.257;0.758
ENST00000396051_98;0.0;0.0;0.406;0.411;0.0;0.192;0.311;0.059;0.29;0.0;0.0;0.0;0.992;0.977;0.731;0.0;0.0;0.508;0.102;0.588;0.594;0.507;0.0;0.164;0.0;0.0;0.0;0.36;0.0;0.14;0.541;0.514;0.0;0.624;0.617;0.539;0.508;0.0;0.508;0.0;0.0;0.542;0.507;0.998;0.524;0.68;0.36;0.524;0.071;0.297;0.558;0.756;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.945;1.0;0.517;0.545;0.0;0.607;0.557;0.726;0.635;0.0;0.0;0.0;0.263;0.196;0.09;0.0;0.521;0.0;0.0;0.0;0.998;0.998;0.341;0.0;0.0;0.347;0.0;0.0;0.25;0.492;0.192;0.62;0.583;0.501;0.502;0.315;0.746;0.746;0.171;0.259;0.756
ENST00000502869_98;0.0;0.0;0.0;0.0;0.0;0.397;0.0;0.124;0.0;0.0;0.0;0.0;0.498;0.492;0.207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.404;0.0;0.0;0.105;0.113;0.0;0.234;0.231;0.0;0.0;0.0;0.0;0.0;0.0;0.102;0.0;0.507;0.006;0.162;0.177;0.006;0.0;0.447;0.095;0.251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.475;0.517;1.0;0.0;0.0;0.145;0.134;0.2;0.208;0.0;0.0;0.0;0.0;0.0;0.314;0.0;0.315;0.0;0.0;0.0;0.507;0.507;0.342;0.0;0.0;0.353;0.0;0.0;0.155;0.0;0.234;0.075;0.006;0.0;0.0;0.472;0.239;0.239;0.406;0.067;0.251
ENST00000329957_98;0.865;0.865;0.912;0.932;0.387;0.62;0.511;0.622;0.742;0.798;0.863;0.863;0.545;0.544;0.667;0.865;0.921;0.96;0.854;0.889;0.911;0.96;0.336;0.395;0.281;0.276;0.281;0.185;0.193;0.205;0.906;0.794;0.897;0.855;0.846;0.932;0.96;0.921;0.916;0.869;0.902;0.865;0.96;0.546;0.675;0.665;0.022;0.675;0.58;0.014;0.674;0.565;0.546;0.0;0.0;0.672;0.274;0.097;0.377;0.411;0.411;0.477;0.672;0.544;0.545;0.0;1.0;0.828;0.887;0.9;0.666;0.845;0.842;0.842;0.842;0.955;0.802;0.799;0.924;0.92;0.871;0.365;0.344;0.545;0.545;0.0;0.502;0.501;0.0;0.0;0.0;0.611;0.672;0.014;0.663;0.649;0.889;0.363;0.433;0.584;0.584;0.0;0.0;0.566
ENST00000614710_98;0.921;0.921;0.811;0.798;0.45;0.736;0.386;0.738;0.635;0.848;0.916;0.916;0.0;0.0;0.427;0.925;0.967;0.959;0.838;0.73;0.748;0.959;0.415;0.245;0.351;0.344;0.351;0.227;0.236;0.228;0.924;0.795;0.899;0.724;0.718;0.883;0.959;0.967;0.911;0.917;0.915;0.863;0.959;0.0;0.432;0.425;0.0;0.432;0.521;0.0;0.432;0.231;0.551;0.0;0.0;0.699;0.285;0.102;0.393;0.428;0.428;0.496;0.699;0.0;0.0;0.0;0.828;1.0;0.804;0.848;0.426;0.703;0.889;0.889;0.889;0.865;0.911;0.907;0.976;0.919;0.907;0.371;0.35;0.0;0.0;0.0;0.502;0.502;0.0;0.0;0.0;0.471;0.43;0.0;0.424;0.406;0.895;0.349;0.368;0.282;0.282;0.0;0.0;0.232
ENST00000604458_98;0.855;0.855;0.847;0.865;0.497;0.794;0.544;0.78;0.836;0.807;0.827;0.827;0.606;0.605;0.757;0.854;0.889;0.996;0.742;0.944;0.9;0.914;0.4;0.402;0.193;0.196;0.193;0.398;0.268;0.333;0.957;0.839;0.801;0.927;0.972;0.957;0.998;0.891;0.95;0.854;0.806;0.978;0.945;0.608;0.686;0.75;0.124;0.686;0.45;0.101;0.67;0.643;0.553;0.0;0.0;0.614;0.428;0.131;0.504;0.504;0.504;0.543;0.614;0.606;0.607;0.145;0.887;0.804;1.0;0.988;0.756;0.939;0.77;0.77;0.77;0.834;0.765;0.713;0.885;0.95;0.855;0.395;0.377;0.606;0.606;0.055;0.48;0.479;0.055;0.0;0.0;0.555;0.658;0.086;0.738;0.668;0.861;0.389;0.415;0.667;0.667;0.007;0.155;0.644
ENSGALT00000086679_98;0.887;0.887;0.882;0.893;0.538;0.867;0.575;0.836;0.894;0.839;0.857;0.857;0.556;0.573;0.737;0.887;0.916;0.988;0.861;0.931;0.924;0.921;0.396;0.347;0.124;0.124;0.124;0.32;0.224;0.269;0.938;0.801;0.808;0.984;0.99;0.954;1.0;0.912;0.968;0.888;0.853;0.977;0.954;0.573;0.704;0.728;0.074;0.704;0.543;0.055;0.679;0.621;0.568;0.06;0.06;0.623;0.436;0.149;0.536;0.536;0.536;0.573;0.623;0.573;0.557;0.134;0.9;0.848;0.988;1.0;0.742;0.971;0.789;0.789;0.789;0.872;0.784;0.78;0.9;0.952;0.889;0.407;0.386;0.571;0.571;0.519;0.085;0.344;0.26;0.259;0.259;0.63;0.686;0.088;0.732;0.646;0.891;0.388;0.472;0.643;0.643;0.0;0.096;0.621
ENSGALT00000013192_98;0.637;0.637;0.643;0.648;0.409;0.352;0.575;0.318;0.485;0.606;0.599;0.599;0.717;0.74;0.996;0.633;0.656;0.699;0.475;0.729;0.746;0.662;0.253;0.339;0.0;0.0;0.0;0.319;0.104;0.197;0.7;0.478;0.417;0.788;0.772;0.7;0.699;0.649;0.709;0.644;0.442;0.716;0.677;0.742;0.895;0.968;0.17;0.895;0.583;0.136;0.879;0.838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.738;0.726;0.2;0.666;0.426;0.756;0.742;1.0;0.796;0.54;0.54;0.54;0.603;0.438;0.419;0.649;0.702;0.644;0.729;0.734;0.736;0.736;0.507;0.0;0.0;0.511;0.0;0.0;0.712;0.862;0.122;0.949;0.879;0.659;0.781;0.543;0.871;0.871;0.013;0.183;0.839
ENSGALT00000018879_98;0.792;0.792;0.839;0.832;0.36;0.559;0.464;0.53;0.642;0.689;0.759;0.759;0.621;0.656;0.783;0.783;0.847;0.953;0.717;0.831;0.857;0.849;0.183;0.262;0.121;0.118;0.121;0.308;0.095;0.166;0.899;0.767;0.706;0.976;0.95;0.903;0.953;0.81;0.98;0.805;0.726;0.889;0.892;0.656;0.687;0.76;0.162;0.687;0.428;0.13;0.682;0.692;0.541;0.0;0.0;0.605;0.344;0.117;0.423;0.491;0.491;0.577;0.605;0.661;0.635;0.208;0.845;0.703;0.939;0.971;0.796;1.0;0.695;0.695;0.695;0.756;0.648;0.666;0.807;0.967;0.807;0.357;0.344;0.654;0.654;0.509;0.0;0.0;0.511;0.0;0.0;0.57;0.686;0.152;0.762;0.649;0.839;0.356;0.445;0.713;0.713;0.026;0.153;0.693
ENSGALT00000045632_98;0.8;0.8;0.756;0.754;0.301;0.67;0.289;0.673;0.664;0.686;0.805;0.805;0.0;0.0;0.54;0.771;0.849;0.849;0.796;0.742;0.756;0.849;0.241;0.238;0.583;0.577;0.587;0.234;0.243;0.239;0.819;0.855;0.876;0.714;0.711;0.818;0.849;0.849;0.772;0.823;0.812;0.772;0.849;0.0;0.543;0.541;0.0;0.543;0.552;0.0;0.543;0.0;0.535;0.0;0.0;0.811;0.192;0.089;0.267;0.317;0.317;0.376;0.811;0.0;0.0;0.0;0.842;0.889;0.77;0.789;0.54;0.695;1.0;1.0;1.0;0.788;0.812;0.809;0.849;0.825;0.77;0.154;0.121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.546;0.543;0.0;0.541;0.347;0.774;0.13;0.0;0.0;0.0;0.0;0.0;0.0
ENSGALT00000055274_98;0.8;0.8;0.756;0.754;0.301;0.67;0.289;0.673;0.664;0.686;0.805;0.805;0.0;0.0;0.54;0.771;0.849;0.849;0.796;0.742;0.756;0.849;0.241;0.238;0.583;0.577;0.587;0.234;0.243;0.239;0.819;0.855;0.876;0.714;0.711;0.818;0.849;0.849;0.772;0.823;0.812;0.772;0.849;0.0;0.543;0.541;0.0;0.543;0.552;0.0;0.543;0.0;0.535;0.0;0.0;0.811;0.192;0.089;0.267;0.317;0.317;0.376;0.811;0.0;0.0;0.0;0.842;0.889;0.77;0.789;0.54;0.695;1.0;1.0;1.0;0.788;0.812;0.809;0.849;0.825;0.77;0.154;0.121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.546;0.543;0.0;0.541;0.347;0.774;0.13;0.0;0.0;0.0;0.0;0.0;0.0
ENSGALT00000084848_98;0.8;0.8;0.756;0.754;0.301;0.67;0.289;0.673;0.664;0.686;0.805;0.805;0.0;0.0;0.54;0.771;0.849;0.849;0.796;0.742;0.756;0.849;0.241;0.238;0.583;0.577;0.587;0.234;0.243;0.239;0.819;0.855;0.876;0.714;0.711;0.818;0.849;0.849;0.772;0.823;0.812;0.772;0.849;0.0;0.543;0.541;0.0;0.543;0.552;0.0;0.543;0.0;0.535;0.0;0.0;0.811;0.192;0.089;0.267;0.317;0.317;0.376;0.811;0.0;0.0;0.0;0.842;0.889;0.77;0.789;0.54;0.695;1.0;1.0;1.0;0.788;0.812;0.809;0.849;0.825;0.77;0.154;0.121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.546;0.543;0.0;0.541;0.347;0.774;0.13;0.0;0.0;0.0;0.0;0.0;0.0
ENSGALT00000073440_98;0.905;0.905;0.942;0.957;0.462;0.621;0.525;0.618;0.715;0.762;0.859;0.859;0.263;0.227;0.61;0.885;0.932;0.957;0.91;0.833;0.867;0.957;0.321;0.355;0.243;0.238;0.243;0.128;0.145;0.141;0.875;0.724;0.847;0.774;0.755;0.912;0.957;0.932;0.922;0.92;0.865;0.822;0.957;0.263;0.648;0.62;0.0;0.648;0.686;0.0;0.631;0.526;0.542;0.0;0.0;0.659;0.272;0.102;0.332;0.387;0.387;0.431;0.659;0.237;0.263;0.0;0.955;0.865;0.834;0.872;0.603;0.756;0.788;0.788;0.788;1.0;0.783;0.774;0.935;0.927;0.895;0.446;0.429;0.263;0.263;0.0;0.0;0.0;0.0;0.0;0.0;0.668;0.62;0.0;0.609;0.627;0.901;0.423;0.547;0.532;0.532;0.0;0.0;0.526
ENSGALT00000102171_98;0.833;0.833;0.741;0.732;0.435;0.692;0.398;0.685;0.617;0.792;0.895;0.895;0.195;0.169;0.444;0.828;0.849;0.899;0.722;0.711;0.742;0.879;0.382;0.16;0.29;0.284;0.29;0.198;0.169;0.17;0.873;0.833;0.862;0.654;0.636;0.81;0.899;0.849;0.854;0.832;0.825;0.808;0.88;0.196;0.472;0.452;0.098;0.472;0.441;0.0;0.461;0.301;0.546;0.0;0.0;0.675;0.28;0.105;0.342;0.399;0.399;0.445;0.675;0.177;0.196;0.0;0.802;0.911;0.765;0.784;0.438;0.648;0.812;0.812;0.812;0.783;1.0;0.876;0.853;0.859;0.807;0.354;0.335;0.195;0.195;0.0;0.0;0.0;0.0;0.0;0.0;0.391;0.452;0.0;0.443;0.45;0.823;0.341;0.276;0.332;0.332;0.0;0.14;0.301
ENSGALT00000103370_98;0.826;0.826;0.736;0.727;0.426;0.678;0.391;0.702;0.607;0.788;0.89;0.89;0.086;0.167;0.41;0.822;0.87;0.899;0.764;0.631;0.657;0.875;0.368;0.155;0.279;0.274;0.279;0.235;0.163;0.159;0.819;0.775;0.91;0.681;0.663;0.789;0.899;0.839;0.854;0.825;0.863;0.771;0.894;0.099;0.386;0.41;0.041;0.386;0.456;0.047;0.417;0.214;0.545;0.0;0.0;0.672;0.278;0.105;0.34;0.397;0.397;0.442;0.672;0.149;0.09;0.314;0.799;0.907;0.713;0.78;0.419;0.666;0.809;0.809;0.809;0.774;0.876;1.0;0.841;0.849;0.801;0.351;0.333;0.099;0.099;0.502;0.0;0.0;0.503;0.0;0.0;0.466;0.425;0.07;0.417;0.358;0.821;0.34;0.332;0.27;0.27;0.041;0.0;0.214
ENSGALT00000072963_98;0.96;0.96;0.926;0.919;0.585;0.857;0.553;0.867;0.857;0.902;0.923;0.923;0.0;0.0;0.648;0.958;1.0;0.988;0.89;0.869;0.861;0.988;0.54;0.421;0.214;0.213;0.214;0.285;0.311;0.305;0.943;0.811;0.908;0.782;0.81;0.943;0.988;1.0;0.959;0.969;0.91;0.889;0.988;0.0;0.664;0.655;0.0;0.664;0.699;0.0;0.665;0.549;0.566;0.0;0.0;0.646;0.451;0.155;0.556;0.556;0.556;0.595;0.646;0.0;0.0;0.0;0.924;0.976;0.885;0.9;0.649;0.807;0.849;0.849;0.849;0.935;0.853;0.841;1.0;0.951;0.966;0.451;0.428;0.0;0.0;0.0;0.518;0.517;0.0;0.0;0.0;0.666;0.661;0.0;0.652;0.63;0.964;0.416;0.58;0.568;0.568;0.0;0.0;0.55
ENSGALT00000049628_98;0.965;0.965;0.976;0.97;0.503;0.722;0.485;0.702;0.702;0.896;0.949;0.949;0.521;0.52;0.701;0.964;0.958;0.96;0.917;0.907;0.953;0.947;0.349;0.294;0.218;0.215;0.218;0.264;0.196;0.204;0.938;0.83;0.865;0.948;0.915;0.938;0.96;0.95;0.984;0.97;0.849;0.91;0.955;0.521;0.66;0.69;0.052;0.66;0.619;0.041;0.67;0.56;0.558;0.0;0.0;0.65;0.373;0.13;0.512;0.572;0.572;0.616;0.65;0.521;0.521;0.315;0.92;0.919;0.95;0.952;0.702;0.967;0.825;0.825;0.825;0.927;0.859;0.849;0.951;1.0;0.963;0.375;0.352;0.521;0.521;0.507;0.0;0.0;0.508;0.0;0.0;0.639;0.662;0.031;0.683;0.626;0.966;0.357;0.534;0.589;0.589;0.013;0.041;0.561
ENSMUST00000003438_98;0.989;0.989;0.932;0.924;0.51;0.628;0.486;0.632;0.646;0.886;0.923;0.923;0.0;0.0;0.643;0.988;0.966;0.954;0.904;0.837;0.865;0.954;0.361;0.293;0.185;0.182;0.185;0.163;0.168;0.165;0.91;0.77;0.868;0.806;0.79;0.911;0.954;0.966;0.99;0.998;0.873;0.863;0.954;0.0;0.659;0.648;0.0;0.659;0.699;0.0;0.659;0.547;0.544;0.0;0.0;0.621;0.361;0.127;0.496;0.566;0.566;0.652;0.621;0.0;0.0;0.0;0.871;0.907;0.855;0.889;0.644;0.807;0.77;0.77;0.77;0.895;0.807;0.801;0.966;0.963;1.0;0.439;0.418;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.664;0.656;0.0;0.646;0.626;0.996;0.401;0.579;0.565;0.565;0.0;0.0;0.547
ENSMUST00000218090_98;0.414;0.414;0.406;0.403;0.53;0.262;0.501;0.263;0.282;0.342;0.322;0.322;0.0;0.0;0.73;0.404;0.456;0.419;0.431;0.4;0.413;0.419;0.505;0.404;0.0;0.0;0.0;0.218;0.228;0.223;0.412;0.271;0.347;0.386;0.379;0.42;0.419;0.456;0.408;0.431;0.369;0.383;0.419;0.0;0.772;0.744;0.0;0.772;0.916;0.0;0.772;0.576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.365;0.371;0.395;0.407;0.729;0.357;0.154;0.154;0.154;0.446;0.354;0.351;0.451;0.375;0.439;1.0;0.952;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.788;0.764;0.0;0.737;0.731;0.419;0.949;0.649;0.605;0.605;0.0;0.0;0.576
ENSMUST00000220138_98;0.393;0.393;0.391;0.388;0.5;0.245;0.473;0.246;0.266;0.318;0.299;0.299;0.0;0.0;0.734;0.383;0.433;0.395;0.41;0.381;0.393;0.395;0.47;0.37;0.0;0.0;0.0;0.185;0.194;0.19;0.392;0.252;0.327;0.367;0.36;0.401;0.395;0.433;0.387;0.41;0.352;0.366;0.395;0.0;0.778;0.748;0.0;0.778;0.93;0.0;0.778;0.578;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.344;0.35;0.377;0.386;0.734;0.344;0.121;0.121;0.121;0.429;0.335;0.333;0.428;0.352;0.418;0.952;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.795;0.77;0.0;0.742;0.737;0.398;0.982;0.653;0.607;0.607;0.0;0.0;0.578
ENSMUST00000006424_98;0.0;0.0;0.405;0.411;0.0;0.192;0.311;0.059;0.29;0.0;0.0;0.0;0.992;0.989;0.732;0.0;0.0;0.507;0.102;0.587;0.593;0.507;0.0;0.164;0.0;0.0;0.0;0.369;0.0;0.14;0.541;0.513;0.0;0.644;0.637;0.539;0.507;0.0;0.508;0.0;0.0;0.559;0.507;1.0;0.525;0.68;0.36;0.525;0.071;0.297;0.559;0.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.978;0.998;0.507;0.545;0.0;0.606;0.571;0.736;0.654;0.0;0.0;0.0;0.263;0.195;0.099;0.0;0.521;0.0;0.0;0.0;1.0;0.986;0.507;0.0;0.0;0.513;0.0;0.0;0.259;0.511;0.198;0.642;0.584;0.501;0.502;0.315;0.746;0.746;0.171;0.259;0.758
